U(k),U(k-1),U(k-2),U(k-3),Y(k),Y(k-1),Y(k-2),Y(k-3)
-0.684773837,-0.846492531,0.039653098,0.354160071,1.9768983,-0.472057035,-0.351490378,-0.629098021
0.941185564,-0.684773837,-0.846492531,0.039653098,0.77664865,1.9768983,-0.472057035,-0.351490378
0.914333896,0.941185564,-0.684773837,-0.846492531,0.509085295,0.77664865,1.9768983,-0.472057035
-0.029248703,0.914333896,0.941185564,-0.684773837,0.381040723,0.509085295,0.77664865,1.9768983
0.600560938,-0.029248703,0.914333896,0.941185564,0.883006455,0.381040723,0.509085295,0.77664865
-0.716227323,0.600560938,-0.029248703,0.914333896,0.171840513,0.883006455,0.381040723,0.509085295
-0.156477435,-0.716227323,0.600560938,-0.029248703,1.029107285,0.171840513,0.883006455,0.381040723
0.83147105,-0.156477435,-0.716227323,0.600560938,0.747638557,1.029107285,0.171840513,0.883006455
0.584414659,0.83147105,-0.156477435,-0.716227323,0.468863046,0.747638557,1.029107285,0.171840513
0.918984853,0.584414659,0.83147105,-0.156477435,0.73522048,0.468863046,0.747638557,1.029107285
0.311481398,0.918984853,0.584414659,0.83147105,0.378470536,0.73522048,0.468863046,0.747638557
-0.928576643,0.311481398,0.918984853,0.584414659,0.399853113,0.378470536,0.73522048,0.468863046
0.698258612,-0.928576643,0.311481398,0.918984853,1.16749831,0.399853113,0.378470536,0.73522048
0.867986496,0.698258612,-0.928576643,0.311481398,0.468880415,1.16749831,0.399853113,0.378470536
0.35747031,0.867986496,0.698258612,-0.928576643,0.509762243,0.468880415,1.16749831,0.399853113
0.515480261,0.35747031,0.867986496,0.698258612,0.683984919,0.509762243,0.468880415,1.16749831
0.486264936,0.515480261,0.35747031,0.867986496,0.560751702,0.683984919,0.509762243,0.468880415
-0.215545961,0.486264936,0.515480261,0.35747031,0.440950934,0.560751702,0.683984919,0.509762243
0.31095578,-0.215545961,0.486264936,0.515480261,0.83638889,0.440950934,0.560751702,0.683984919
-0.657626624,0.31095578,-0.215545961,0.486264936,0.286853577,0.83638889,0.440950934,0.560751702
0.412092176,-0.657626624,0.31095578,-0.215545961,1.077400219,0.286853577,0.83638889,0.440950934
-0.936334307,0.412092176,-0.657626624,0.31095578,0.123659664,1.077400219,0.286853577,0.83638889
-0.44615403,-0.936334307,0.412092176,-0.657626624,1.059310968,0.123659664,1.077400219,0.286853577
-0.907657219,-0.44615403,-0.936334307,0.412092176,0.392531222,1.059310968,0.123659664,1.077400219
-0.805736438,-0.907657219,-0.44615403,-0.936334307,0.78897981,0.392531222,1.059310968,0.123659664
0.646915657,-0.805736438,-0.907657219,-0.44615403,0.962427646,0.78897981,0.392531222,1.059310968
0.389657246,0.646915657,-0.805736438,-0.907657219,0.412912542,0.962427646,0.78897981,0.392531222
-0.36580104,0.389657246,0.646915657,-0.805736438,0.499410457,0.412912542,0.962427646,0.78897981
0.900444098,-0.36580104,0.389657246,0.646915657,1.001780125,0.499410457,0.412912542,0.962427646
-0.931107839,0.900444098,-0.36580104,0.389657246,-0.003354825,1.001780125,0.499410457,0.412912542
-0.122511281,-0.931107839,0.900444098,-0.36580104,1.252070649,-0.003354825,1.001780125,0.499410457
-0.236883086,-0.122511281,-0.931107839,0.900444098,0.421568416,1.252070649,-0.003354825,1.001780125
0.531033576,-0.236883086,-0.122511281,-0.931107839,0.9072717,0.421568416,1.252070649,-0.003354825
0.590399802,0.531033576,-0.236883086,-0.122511281,0.512599026,0.9072717,0.421568416,1.252070649
-0.626254791,0.590399802,0.531033576,-0.236883086,0.327430102,0.512599026,0.9072717,0.421568416
-0.020471208,-0.626254791,0.590399802,0.531033576,0.93609397,0.327430102,0.512599026,0.9072717
-0.108827599,-0.020471208,-0.626254791,0.590399802,0.495438318,0.93609397,0.327430102,0.512599026
0.29262602,-0.108827599,-0.020471208,-0.626254791,0.77450505,0.495438318,0.93609397,0.327430102
0.418729662,0.29262602,-0.108827599,-0.020471208,0.580432031,0.77450505,0.495438318,0.93609397
0.509373364,0.418729662,0.29262602,-0.108827599,0.634462821,0.580432031,0.77450505,0.495438318
-0.447949846,0.509373364,0.418729662,0.29262602,0.347022339,0.634462821,0.580432031,0.77450505
0.359405354,-0.447949846,0.509373364,0.418729662,0.966614478,0.347022339,0.634462821,0.580432031
0.310196008,0.359405354,-0.447949846,0.509373364,0.478215466,0.966614478,0.347022339,0.634462821
-0.67477653,0.310196008,0.359405354,-0.447949846,0.414738431,0.478215466,0.966614478,0.347022339
-0.762004637,-0.67477653,0.310196008,0.359405354,0.718776244,0.414738431,0.478215466,0.966614478
-0.003271896,-0.762004637,-0.67477653,0.310196008,0.809592715,0.718776244,0.414738431,0.478215466
0.919487917,-0.003271896,-0.762004637,-0.67477653,0.783464084,0.809592715,0.718776244,0.414738431
-0.319228547,0.919487917,-0.003271896,-0.762004637,0.205053042,0.783464084,0.809592715,0.718776244
0.170535502,-0.319228547,0.919487917,-0.003271896,0.96824143,0.205053042,0.783464084,0.809592715
-0.552376121,0.170535502,-0.319228547,0.919487917,0.318813072,0.96824143,0.205053042,0.783464084
0.502534119,-0.552376121,0.170535502,-0.319228547,1.04960394,0.318813072,0.96824143,0.205053042
-0.489809769,0.502534119,-0.552376121,0.170535502,0.214686462,1.04960394,0.318813072,0.96824143
0.011914103,-0.489809769,0.502534119,-0.552376121,0.97317917,0.214686462,1.04960394,0.318813072
0.398153445,0.011914103,-0.489809769,0.502534119,0.60276048,0.97317917,0.214686462,1.04960394
0.781806505,0.398153445,0.011914103,-0.489809769,0.699929138,0.60276048,0.97317917,0.214686462
0.91858285,0.781806505,0.398153445,0.011914103,0.583363576,0.699929138,0.60276048,0.97317917
0.09443106,0.91858285,0.781806505,0.398153445,0.379599794,0.583363576,0.699929138,0.60276048
-0.722751114,0.09443106,0.91858285,0.781806505,0.515830794,0.379599794,0.583363576,0.699929138
-0.701411989,-0.722751114,0.09443106,0.91858285,0.701176576,0.515830794,0.379599794,0.583363576
-0.484983492,-0.701411989,-0.722751114,0.09443106,0.67700618,0.701176576,0.515830794,0.379599794
0.681434512,-0.484983492,-0.701411989,-0.722751114,0.9121544,0.67700618,0.701176576,0.515830794
-0.491435642,0.681434512,-0.484983492,-0.701411989,0.195681057,0.9121544,0.67700618,0.701176576
0.628569652,-0.491435642,0.681434512,-0.484983492,1.140916539,0.195681057,0.9121544,0.67700618
-0.512950063,0.628569652,-0.491435642,0.681434512,0.150281259,1.140916539,0.195681057,0.9121544
0.858527246,-0.512950063,0.628569652,-0.491435642,1.237869428,0.150281259,1.140916539,0.195681057
-0.300032468,0.858527246,-0.512950063,0.628569652,0.114287305,1.237869428,0.150281259,1.140916539
-0.606809499,-0.300032468,0.858527246,-0.512950063,0.835741982,0.114287305,1.237869428,0.150281259
-0.497832284,-0.606809499,-0.300032468,0.858527246,0.602323642,0.835741982,0.114287305,1.237869428
0.232089352,-0.497832284,-0.606809499,-0.300032468,0.831465667,0.602323642,0.835741982,0.114287305
-0.053422302,0.232089352,-0.497832284,-0.606809499,0.4630284,0.831465667,0.602323642,0.835741982
-0.296680986,-0.053422302,0.232089352,-0.497832284,0.625370175,0.4630284,0.831465667,0.602323642
0.661657256,-0.296680986,-0.053422302,0.232089352,0.869663072,0.625370175,0.4630284,0.831465667
0.170528182,0.661657256,-0.296680986,-0.053422302,0.378990595,0.869663072,0.625370175,0.4630284
0.099447217,0.170528182,0.661657256,-0.296680986,0.698871457,0.378990595,0.869663072,0.625370175
0.834387328,0.099447217,0.170528182,0.661657256,0.76738872,0.698871457,0.378990595,0.869663072
-0.428321962,0.834387328,0.099447217,0.170528182,0.208409797,0.76738872,0.698871457,0.378990595
0.514400458,-0.428321962,0.834387328,0.099447217,1.084630544,0.208409797,0.76738872,0.698871457
0.507458189,0.514400458,-0.428321962,0.834387328,0.452245718,1.084630544,0.208409797,0.76738872
-0.239108306,0.507458189,0.514400458,-0.428321962,0.476574173,0.452245718,1.084630544,0.208409797
0.135643281,-0.239108306,0.507458189,0.514400458,0.782886635,0.476574173,0.452245718,1.084630544
-0.848291421,0.135643281,-0.239108306,0.507458189,0.308122318,0.782886635,0.476574173,0.452245718
-0.892099763,-0.848291421,0.135643281,-0.239108306,0.795916991,0.308122318,0.782886635,0.476574173
0.061595106,-0.892099763,-0.848291421,0.135643281,0.839847314,0.795916991,0.308122318,0.782886635
0.55833446,0.061595106,-0.892099763,-0.848291421,0.664628447,0.839847314,0.795916991,0.308122318
0.868021368,0.55833446,0.061595106,-0.892099763,0.650239662,0.664628447,0.839847314,0.795916991
-0.740187583,0.868021368,0.55833446,0.061595106,0.160519283,0.650239662,0.664628447,0.839847314
0.137647322,-0.740187583,0.868021368,0.55833446,1.118151332,0.160519283,0.650239662,0.664628447
-0.061218718,0.137647322,-0.740187583,0.868021368,0.415510923,1.118151332,0.160519283,0.650239662
-0.976195861,-0.061218718,0.137647322,-0.740187583,0.480775345,0.415510923,1.118151332,0.160519283
-0.325754711,-0.976195861,-0.061218718,0.137647322,0.886741967,0.480775345,0.415510923,1.118151332
-0.675635384,-0.325754711,-0.976195861,-0.061218718,0.458831749,0.886741967,0.480775345,0.415510923
0.588569081,-0.675635384,-0.325754711,-0.976195861,1.035312894,0.458831749,0.886741967,0.480775345
-0.377569916,0.588569081,-0.675635384,-0.325754711,0.220361744,1.035312894,0.458831749,0.886741967
0.057066271,-0.377569916,0.588569081,-0.675635384,0.946966704,0.220361744,1.035312894,0.458831749
-0.668702541,0.057066271,-0.377569916,0.588569081,0.32932395,0.946966704,0.220361744,1.035312894
0.203963883,-0.668702541,0.057066271,-0.377569916,1.003863813,0.32932395,0.946966704,0.220361744
-0.474057431,0.203963883,-0.668702541,0.057066271,0.319332387,1.003863813,0.32932395,0.946966704
0.308158197,-0.474057431,0.203963883,-0.668702541,0.977215887,0.319332387,1.003863813,0.32932395
0.378429006,0.308158197,-0.474057431,0.203963883,0.507921458,0.977215887,0.319332387,1.003863813
0.496303186,0.378429006,0.308158197,-0.474057431,0.673711608,0.507921458,0.977215887,0.319332387
-0.098916803,0.496303186,0.378429006,0.308158197,0.42385434,0.673711608,0.507921458,0.977215887
-0.832357244,-0.098916803,0.496303186,0.378429006,0.523904761,0.42385434,0.673711608,0.507921458
-0.542046063,-0.832357244,-0.098916803,0.496303186,0.770404645,0.523904761,0.42385434,0.673711608
0.826674723,-0.542046063,-0.832357244,-0.098916803,0.934125121,0.770404645,0.523904761,0.42385434
-0.695243962,0.826674723,-0.542046063,-0.832357244,0.095216225,0.934125121,0.770404645,0.523904761
0.651633955,-0.695243962,0.826674723,-0.542046063,1.284543388,0.095216225,0.934125121,0.770404645
0.076684871,0.651633955,-0.695243962,0.826674723,0.261405263,1.284543388,0.095216225,0.934125121
0.992269433,0.076684871,0.651633955,-0.695243962,1.017828528,0.261405263,1.284543388,0.095216225
-0.843648942,0.992269433,0.076684871,0.651633955,-0.013010816,1.017828528,0.261405263,1.284543388
-0.11464346,-0.843648942,0.992269433,0.076684871,1.237616147,-0.013010816,1.017828528,0.261405263
-0.78669446,-0.11464346,-0.843648942,0.992269433,0.284623599,1.237616147,-0.013010816,1.017828528
0.923796162,-0.78669446,-0.11464346,-0.843648942,1.245395514,0.284623599,1.237616147,-0.013010816
-0.990731552,0.923796162,-0.78669446,-0.11464346,-0.079465899,1.245395514,0.284623599,1.237616147
0.549820929,-0.990731552,0.923796162,-0.78669446,1.521000559,-0.079465899,1.245395514,0.284623599
0.634606441,0.549820929,-0.990731552,0.923796162,0.390373232,1.521000559,-0.079465899,1.245395514
0.737389411,0.634606441,0.549820929,-0.990731552,0.713196758,0.390373232,1.521000559,-0.079465899
-0.831128309,0.737389411,0.634606441,0.549820929,0.154705216,0.713196758,0.390373232,1.521000559
-0.200434702,-0.831128309,0.737389411,0.634606441,1.065251713,0.154705216,0.713196758,0.390373232
-0.480259194,-0.200434702,-0.831128309,0.737389411,0.424268091,1.065251713,0.154705216,0.713196758
0.60013696,-0.480259194,-0.200434702,-0.831128309,0.996227005,0.424268091,1.065251713,0.154705216
-0.137172345,0.60013696,-0.480259194,-0.200434702,0.286610857,0.996227005,0.424268091,1.065251713
0.821295189,-0.137172345,0.60013696,-0.480259194,1.023711286,0.286610857,0.996227005,0.424268091
-0.636305943,0.821295189,-0.137172345,0.60013696,0.088676591,1.023711286,0.286610857,0.996227005
-0.472394167,-0.636305943,0.821295189,-0.137172345,0.991339675,0.088676591,1.023711286,0.286610857
-0.708922039,-0.472394167,-0.636305943,0.821295189,0.466662237,0.991339675,0.088676591,1.023711286
-0.727862883,-0.708922039,-0.472394167,-0.636305943,0.712531132,0.466662237,0.991339675,0.088676591
0.738584415,-0.727862883,-0.708922039,-0.472394167,0.986935959,0.712531132,0.466662237,0.991339675
0.159409175,0.738584415,-0.727862883,-0.708922039,0.321564453,0.986935959,0.712531132,0.466662237
0.099720404,0.159409175,0.738584415,-0.727862883,0.733786296,0.321564453,0.986935959,0.712531132
-0.710090404,0.099720404,0.159409175,0.738584415,0.36933363,0.733786296,0.321564453,0.986935959
0.706062235,-0.710090404,0.099720404,0.159409175,1.119824898,0.36933363,0.733786296,0.321564453
0.244110263,0.706062235,-0.710090404,0.099720404,0.320945972,1.119824898,0.36933363,0.733786296
-0.298095238,0.244110263,0.706062235,-0.710090404,0.609276345,0.320945972,1.119824898,0.36933363
0.02649908,-0.298095238,0.244110263,0.706062235,0.717450657,0.609276345,0.320945972,1.119824898
-0.196383932,0.02649908,-0.298095238,0.244110263,0.525212651,0.717450657,0.609276345,0.320945972
-0.848066617,-0.196383932,0.02649908,-0.298095238,0.502544805,0.525212651,0.717450657,0.609276345
-0.520167693,-0.848066617,-0.196383932,0.02649908,0.78991562,0.502544805,0.525212651,0.717450657
-0.75336213,-0.520167693,-0.848066617,-0.196383932,0.52639533,0.78991562,0.502544805,0.525212651
-0.632184423,-0.75336213,-0.520167693,-0.848066617,0.723100806,0.52639533,0.78991562,0.502544805
-0.520094949,-0.632184423,-0.75336213,-0.520167693,0.639980689,0.723100806,0.52639533,0.78991562
-0.165465862,-0.520094949,-0.632184423,-0.75336213,0.724425297,0.639980689,0.723100806,0.52639533
-0.900691139,-0.165465862,-0.520094949,-0.632184423,0.40437032,0.724425297,0.639980689,0.723100806
0.80543222,-0.900691139,-0.165465862,-0.520094949,1.183628295,0.40437032,0.724425297,0.639980689
0.889574379,0.80543222,-0.900691139,-0.165465862,0.438717328,1.183628295,0.40437032,0.724425297
-0.018271815,0.889574379,0.80543222,-0.900691139,0.423623301,0.438717328,1.183628295,0.40437032
-0.021494723,-0.018271815,0.889574379,0.80543222,0.702540873,0.423623301,0.438717328,1.183628295
-0.32456118,-0.021494723,-0.018271815,0.889574379,0.512665533,0.702540873,0.423623301,0.438717328
0.800107693,-0.32456118,-0.021494723,-0.018271815,0.958479951,0.512665533,0.702540873,0.423623301
-0.261506438,0.800107693,-0.32456118,-0.021494723,0.205191153,0.958479951,0.512665533,0.702540873
-0.777594489,-0.261506438,0.800107693,-0.32456118,0.713797203,0.205191153,0.958479951,0.512665533
0.560504137,-0.777594489,-0.261506438,0.800107693,0.956903991,0.713797203,0.205191153,0.958479951
-0.220522326,0.560504137,-0.777594489,-0.261506438,0.287729451,0.956903991,0.713797203,0.205191153
-0.516617428,-0.220522326,0.560504137,-0.777594489,0.713562976,0.287729451,0.956903991,0.713797203
-0.192175709,-0.516617428,-0.220522326,0.560504137,0.69052067,0.713562976,0.287729451,0.956903991
-0.80709095,-0.192175709,-0.516617428,-0.220522326,0.447413707,0.69052067,0.713562976,0.287729451
-0.736053415,-0.80709095,-0.192175709,-0.516617428,0.749001405,0.447413707,0.69052067,0.713562976
0.884101182,-0.736053415,-0.80709095,-0.192175709,1.013596149,0.749001405,0.447413707,0.69052067
0.91226908,0.884101182,-0.736053415,-0.80709095,0.459460829,1.013596149,0.749001405,0.447413707
0.15041719,0.91226908,0.884101182,-0.736053415,0.449108115,0.459460829,1.013596149,0.749001405
-0.880440914,0.15041719,0.91226908,0.884101182,0.42484425,0.449108115,0.459460829,1.013596149
-0.530440173,-0.880440914,0.15041719,0.91226908,0.833353326,0.42484425,0.449108115,0.459460829
-0.293682858,-0.530440173,-0.880440914,0.15041719,0.631159935,0.833353326,0.42484425,0.449108115
0.64238808,-0.293682858,-0.530440173,-0.880440914,0.861762546,0.631159935,0.833353326,0.42484425
-0.969193125,0.64238808,-0.293682858,-0.530440173,0.10211072,0.861762546,0.631159935,0.833353326
-0.913952397,-0.969193125,0.64238808,-0.293682858,0.969619691,0.10211072,0.861762546,0.631159935
-0.662019941,-0.913952397,-0.969193125,0.64238808,0.616392961,0.969619691,0.10211072,0.861762546
0.29823095,-0.662019941,-0.913952397,-0.969193125,0.891825162,0.616392961,0.969619691,0.10211072
0.463444771,0.29823095,-0.662019941,-0.913952397,0.554981981,0.891825162,0.616392961,0.969619691
0.295491926,0.463444771,0.29823095,-0.662019941,0.577933819,0.554981981,0.891825162,0.616392961
-0.098152587,0.295491926,0.463444771,0.29823095,0.520554416,0.577933819,0.554981981,0.891825162
0.094017785,-0.098152587,0.295491926,0.463444771,0.710605081,0.520554416,0.577933819,0.554981981
-0.407358389,0.094017785,-0.098152587,0.295491926,0.454543533,0.710605081,0.520554416,0.577933819
0.489385614,-0.407358389,0.094017785,-0.098152587,0.932054828,0.454543533,0.710605081,0.520554416
-0.62208997,0.489385614,-0.407358389,0.094017785,0.215245478,0.932054828,0.454543533,0.710605081
0.373550867,-0.62208997,0.489385614,-0.407358389,1.102893721,0.215245478,0.932054828,0.454543533
-0.632977689,0.373550867,-0.62208997,0.489385614,0.205225524,1.102893721,0.215245478,0.932054828
-0.263030807,-0.632977689,0.373550867,-0.62208997,0.953855835,0.205225524,1.102893721,0.215245478
0.251237121,-0.263030807,-0.632977689,0.373550867,0.65352701,0.953855835,0.205225524,1.102893721
0.56045487,0.251237121,-0.263030807,-0.632977689,0.669510446,0.65352701,0.953855835,0.205225524
-0.837748462,0.56045487,0.251237121,-0.263030807,0.221404406,0.669510446,0.65352701,0.953855835
0.858771942,-0.837748462,0.56045487,0.251237121,1.284747172,0.221404406,0.669510446,0.65352701
0.551425357,0.858771942,-0.837748462,0.56045487,0.317909947,1.284747172,0.221404406,0.669510446
-0.026416735,0.551425357,0.858771942,-0.837748462,0.586745395,0.317909947,1.284747172,0.221404406
-0.128282823,-0.026416735,0.551425357,0.858771942,0.606075145,0.586745395,0.317909947,1.284747172
-0.106432501,-0.128282823,-0.026416735,0.551425357,0.634512595,0.606075145,0.586745395,0.317909947
-0.387301056,-0.106432501,-0.128282823,-0.026416735,0.546907664,0.634512595,0.606075145,0.586745395
0.017017311,-0.387301056,-0.106432501,-0.128282823,0.76689564,0.546907664,0.634512595,0.606075145
0.021543128,0.017017311,-0.387301056,-0.106432501,0.566244971,0.76689564,0.546907664,0.634512595
0.635255417,0.021543128,0.017017311,-0.387301056,0.790820643,0.566244971,0.76689564,0.546907664
0.589662834,0.635255417,0.021543128,0.017017311,0.515242296,0.790820643,0.566244971,0.76689564
0.28863626,0.589662834,0.635255417,0.021543128,0.555220673,0.515242296,0.790820643,0.566244971
-0.242781235,0.28863626,0.589662834,0.635255417,0.495709381,0.555220673,0.515242296,0.790820643
0.623160917,-0.242781235,0.28863626,0.589662834,0.897203678,0.495709381,0.555220673,0.515242296
0.065651178,0.623160917,-0.242781235,0.28863626,0.356556055,0.897203678,0.495709381,0.555220673
-0.298545793,0.065651178,0.623160917,-0.242781235,0.642829038,0.356556055,0.897203678,0.495709381
0.878003124,-0.298545793,0.065651178,0.623160917,0.917770584,0.642829038,0.356556055,0.897203678
0.751885623,0.878003124,-0.298545793,0.065651178,0.446009273,0.917770584,0.642829038,0.356556055
0.100312686,0.751885623,0.878003124,-0.298545793,0.491070982,0.446009273,0.917770584,0.642829038
0.244950172,0.100312686,0.751885623,0.878003124,0.701802621,0.491070982,0.446009273,0.917770584
0.174089409,0.244950172,0.100312686,0.751885623,0.557649511,0.701802621,0.491070982,0.446009273
-0.584515415,0.174089409,0.244950172,0.100312686,0.443637271,0.557649511,0.701802621,0.491070982
-0.397507339,-0.584515415,0.174089409,0.244950172,0.768672568,0.443637271,0.557649511,0.701802621
-0.058153303,-0.397507339,-0.584515415,0.174089409,0.670109652,0.768672568,0.443637271,0.557649511
-0.53902368,-0.058153303,-0.397507339,-0.584515415,0.481453151,0.670109652,0.768672568,0.443637271
0.688617585,-0.53902368,-0.058153303,-0.397507339,1.008874408,0.481453151,0.670109652,0.768672568
-0.610471421,0.688617585,-0.53902368,-0.058153303,0.138588068,1.008874408,0.481453151,0.670109652
-0.548156438,-0.610471421,0.688617585,-0.53902368,0.924383082,0.138588068,1.008874408,0.481453151
-0.658583906,-0.548156438,-0.610471421,0.688617585,0.519448009,0.924383082,0.138588068,1.008874408
-0.544671404,-0.658583906,-0.548156438,-0.610471421,0.71954106,0.519448009,0.924383082,0.138588068
-0.128602632,-0.544671404,-0.658583906,-0.548156438,0.712801285,0.71954106,0.519448009,0.924383082
-0.377795427,-0.128602632,-0.544671404,-0.658583906,0.527970822,0.712801285,0.71954106,0.519448009
0.846759284,-0.377795427,-0.128602632,-0.544671404,0.979491208,0.527970822,0.712801285,0.71954106
-0.139585217,0.846759284,-0.377795427,-0.128602632,0.216256229,0.979491208,0.527970822,0.712801285
-0.63036736,-0.139585217,0.846759284,-0.377795427,0.706478897,0.216256229,0.979491208,0.527970822
0.809761937,-0.63036736,-0.139585217,0.846759284,0.977552665,0.706478897,0.216256229,0.979491208
0.959496757,0.809761937,-0.63036736,-0.139585217,0.502621142,0.977552665,0.706478897,0.216256229
-0.122260054,0.959496757,0.809761937,-0.63036736,0.347089706,0.502621142,0.977552665,0.706478897
