U(k),U(k-1),U(k-2),U(k-3),Y(k),Y(k-1),Y(k-2),Y(k-3)
-0.999990207,0.878539225,-0.762793606,-0.110636957,0.385063685,0.112813711,-0.351577057,-0.154754987
-0.536572918,-0.999990207,0.878539225,-0.762793606,0.887842295,0.385063685,0.112813711,-0.351577057
0.420167037,-0.536572918,-0.999990207,0.878539225,0.795718898,0.887842295,0.385063685,0.112813711
0.990607356,0.420167037,-0.536572918,-0.999990207,0.678481761,0.795718898,0.887842295,0.385063685
0.65028784,0.990607356,0.420167037,-0.536572918,0.46116626,0.678481761,0.795718898,0.887842295
-0.287903317,0.65028784,0.990607356,0.420167037,0.417322633,0.46116626,0.678481761,0.795718898
-0.961397492,-0.287903317,0.65028784,0.990607356,0.551577278,0.417322633,0.46116626,0.678481761
-0.750987247,-0.961397492,-0.287903317,0.65028784,0.745177878,0.551577278,0.417322633,0.46116626
0.14987721,-0.750987247,-0.961397492,-0.287903317,0.835772969,0.745177878,0.551577278,0.417322633
0.912945251,0.14987721,-0.750987247,-0.961397492,0.728002818,0.835772969,0.745177878,0.551577278
0.836655639,0.912945251,0.14987721,-0.750987247,0.513983094,0.728002818,0.835772969,0.745177878
-0.008851309,0.836655639,0.912945251,0.14987721,0.407299838,0.513983094,0.728002818,0.835772969
-0.846220404,-0.008851309,0.836655639,0.912945251,0.501680918,0.407299838,0.513983094,0.728002818
-0.905578362,-0.846220404,-0.008851309,0.836655639,0.693391959,0.501680918,0.407299838,0.513983094
-0.13235175,-0.905578362,-0.846220404,-0.008851309,0.829116307,0.693391959,0.501680918,0.407299838
0.76255845,-0.13235175,-0.905578362,-0.846220404,0.777057228,0.829116307,0.693391959,0.501680918
0.956375928,0.76255845,-0.13235175,-0.905578362,0.573054526,0.777057228,0.829116307,0.693391959
0.270905788,0.956375928,0.76255845,-0.13235175,0.416519541,0.573054526,0.777057228,0.829116307
-0.663633884,0.270905788,0.956375928,0.76255845,0.458775461,0.416519541,0.573054526,0.777057228
-0.988031624,-0.663633884,0.270905788,0.956375928,0.637588718,0.458775461,0.416519541,0.573054526
-0.404037645,-0.988031624,-0.663633884,0.270905788,0.806054014,0.637588718,0.458775461,0.416519541
0.551426681,-0.404037645,-0.988031624,-0.663633884,0.81276126,0.806054014,0.637588718,0.458775461
0.99991186,0.551426681,-0.404037645,-0.988031624,0.636194583,0.81276126,0.806054014,0.637588718
0.529082686,0.99991186,0.551426681,-0.404037645,0.443471365,0.636194583,0.81276126,0.806054014
-0.428182669,0.529082686,0.99991186,0.551426681,0.427003921,0.443471365,0.636194583,0.81276126
-0.991778853,-0.428182669,0.529082686,0.99991186,0.58127901,0.427003921,0.443471365,0.636194583
-0.643538133,-0.991778853,-0.428182669,0.529082686,0.769048588,0.58127901,0.427003921,0.443471365
0.296368579,-0.643538133,-0.991778853,-0.428182669,0.832429184,0.769048588,0.58127901,0.427003921
0.963795386,0.296368579,-0.643538133,-0.991778853,0.697761954,0.832429184,0.769048588,0.58127901
